rank,lemma,reading,count,meanings_en,pos_tags,alt_readings_kana,alt_spellings_kanji
10190,苦虫,ニガムシ,42996,bitter-tasting bug,noun (common) (futsuumeishi),にがむし,苦虫
10191,錬成,レンセイ,42995,drilling; training,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",れんせい,練成 錬成
10192,本陣,ホンジン,42987,inn designated for use by a daimyo (Edo period); stronghold; troop headquarters,noun (common) (futsuumeishi),ほんじん,本陣
10193,北側,キタガワ,42978,north bank; north side,noun (common) (futsuumeishi),きたがわ ほくそく,北側
10194,残業,ザンギョウ,42974,overtime (work),"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",ざんぎょう,残業
10195,状況下,ジョウキョウカ,42966,,,,
10196,和らげる,ヤワラゲ,42955,to moderate; to relieve; to soften,"Ichidan verb, transitive verb",やわらげる,和らげる
10197,ミー,ミー,42950,me,noun (common) (futsuumeishi),ミー,
10198,ピザ,ピザ,42941,"fat, ugly person; pizza",noun (common) (futsuumeishi),ピザ ピッツァ ピッツア,
10199,不覚,フカク,42936,blunder; defeat; failure; indiscretion; mistake; negligence; unconsciousness,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",ふかく,不覚
10200,化学,カガク,42934,chemistry,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",かがく ばけがく,化学
10201,受け身,ウケミ,42934,passive attitude; passive voice; passiveness; passivity; the defensive; the passive; ukemi (the art of falling safely),"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",うけみ,受け身 受身
10202,爆ぜる,ハゼ,42930,to burst open; to pop; to split,"Ichidan verb, intransitive verb",はぜる,爆ぜる 罅ぜる
10203,参照,サンショウ,42918,bibliographical reference; browsing (e.g. when selecting a file to upload on a computer); checking out; consultation; reference,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",さんしょう,参照
10204,気安い,キヤスク,42912,easy to access; familiar; friendly; relaxed,adjective (keiyoushi),きやすい,気安い 気易い
10205,嘘つき,ウソツキ,42911,fibber; liar,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",うそつき ウソつき,うそ付き うそ吐き ウソ付き ウソ吐き 嘘つき 嘘付き 嘘吐き 噓吐き
10206,大隊,ダイタイ,42910,battalion,noun (common) (futsuumeishi),だいたい,大隊
10207,焼き,ヤキ,42898,"-ware; cooking, esp. frying or stir-frying; heating; tempering","noun (common) (futsuumeishi), noun, used as a suffix",やき,焼 焼き
10208,トランプ,トランプ,42888,(Western) playing cards,noun (common) (futsuumeishi),トランプ,
10209,詰む,ツン,42886,to be at a loss; to be checkmated; to be hard pressed; to become fine (of fabric); to reach the limits,"Godan verb with 'mu' ending, intransitive verb",つむ,詰む
10210,奮闘,フントウ,42883,hard struggle; strenuous effort,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",ふんとう,奮闘
10211,裏手,ウラテ,42857,"back (esp. of a building, etc.); behind; rear","noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",うらて,裏手
10212,来訪,ライホウ,42851,call; visit,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",らいほう,来訪
10213,ピエロ,ピエロ,42847,clown,noun (common) (futsuumeishi),ピエロ,
10214,張本人,チョウホンニン,42847,main culprit; originator; perpetrator; person responsible; ringleader,noun (common) (futsuumeishi),ちょうほんにん,帳本人 張本人
10215,めんどい,メンドク,42841,bothersome; troublesome,adjective (keiyoushi),めんどい,面倒い
10216,積み重ねる,ツミカサネ,42833,to accumulate; to pile up,"Ichidan verb, transitive verb",つみかさねる,つみ重ねる 積み重ねる 積重ねる
10217,端正,タンセイ,42831,clean-cut (features); correct; decent; graceful; handsome; proper; shapely; upright,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",たんせい,端整 端正
10218,将棋,ショウギ,42815,Japanese chess; shogi,noun (common) (futsuumeishi),しょうぎ,将棋 象戯 象棋
10219,通達,ツウタツ,42805,being well versed (in something); directive (e.g. from higher to lower levels of the administration); notification; official notice,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",つうたつ つうだつ,通達
10220,は〜い,ハイ,42798,,,,
10221,すさまじい,スサマジイ,42789,absurd; amazing; awful; cutthroat; dreadful; fierce; intense; terrible; terrific; tremendous,adjective (keiyoushi),すさまじい,凄じい 凄まじい
10222,中佐,チュウサ,42788,commander (navy); lieutenant colonel,noun (common) (futsuumeishi),ちゅうさ,中佐
10223,怖気,オジケ,42784,dread; fear; fright; willies,noun (common) (futsuumeishi),おじけ おぞけ,怖じけ 怖じ気 怖気 恐気
10224,役者,ヤクシャ,42783,actor; actress; clever person; cunning fellow; man of wits,noun (common) (futsuumeishi),やくしゃ,役者
10225,地中,チチュウ,42781,subterranean; underground,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",ちちゅう,地中
10226,所業,ショギョウ,42766,act; deed,noun (common) (futsuumeishi),しょぎょう,所業 所行
10227,グローブ,グローブ,42762,globe; glove (esp. sports),noun (common) (futsuumeishi),グローブ,
10228,大穴,オオアナ,42759,a killing (e.g. on a race); big and unexpected winnings; dark horse (horse racing); great deficit; heavy losses; large hole,noun (common) (futsuumeishi),おおあな,大穴
10229,制裁,セイサイ,42754,punishment; sanctions,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",せいさい,制裁
10230,夜間,ヤカン,42747,night; nighttime,"adverb (fukushi), noun (common) (futsuumeishi)",やかん,夜間
10231,獲る,トッ,42735,to capture; to catch; to take,"Godan verb with 'ru' ending, transitive verb",とる,捕る 獲る
10232,イマイチ,イマイチ,42733,not quite (right); not very good; somewhat (lacking),"adverb (fukushi), expressions (phrases, clauses, etc.)",いまいち イマイチ,今いち 今一
10233,バーン,バーン,42733,bam; bang; barn; road; wham,"adverb taking the 'to' particle, noun (common) (futsuumeishi)",バーン,
10234,作法,サホウ,42726,"etiquette; manner of production (esp. of prose, poetry, etc.); manners; propriety; way of making",noun (common) (futsuumeishi),さくほう さほう,作法
10235,巻き起こる,マキオコル,42719,to arise; to break out; to burst; to well up,"Godan verb with 'ru' ending, intransitive verb",まきおこる,巻き起こる 巻き起る 巻起こる 巻起る 捲き起こる 捲き起る
10236,取り憑く,トリツカ,42716,to haunt; to possess; to take hold of,"Godan verb with 'ku' ending, intransitive verb",とりつく,取り憑く
10237,二の腕,ニノウデ,42709,upper arm,noun (common) (futsuumeishi),にのうで,二の腕
10238,弾幕,ダンマク,42709,(artillery) barrage; barrage of scrolling comments (overlaid on an online video); bullet hell; curtain fire; screen-filling barrage of (usu. slow-moving) enemy bullets,noun (common) (futsuumeishi),だんまく,弾幕
10239,朱雀,スザク,42709,seven mansions (Chinese constellations) of the southern heavens; Vermilion Bird (god said to rule over the southern heavens),noun (common) (futsuumeishi),しゅじゃく すざく すじゃく,朱雀
10240,かき混ぜる,カキマゼ,42703,to churn; to mix; to scramble; to stir,"Ichidan verb, transitive verb",かきまぜる,かき交ぜる かき混ぜる 掻きまぜる 掻き交ぜる 掻き混ぜる 掻き雑ぜる 搔きまぜる 搔き交ぜる 搔き混ぜる 搔き雑ぜる
10241,絶え絶え,タエダエ,42691,faint; feeble,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",たえだえ,絶え絶え
10242,丁重,テイチョウ,42690,courteous; hospitable; polite,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",ていちょう,丁重 鄭重
10243,龍神,リュウジン,42689,dragon god; dragon king; naga,noun (common) (futsuumeishi),りゅうじん,竜神 龍神
10244,見込み,ミコミ,42687,anticipation; chance; estimate; expectation; forecast; hope; likelihood; possibility; probability; promise; side of a structural member,noun (common) (futsuumeishi),みこみ,見込 見込み
10245,エデン,エデン,42685,Eden,noun (common) (futsuumeishi),エデン,
10246,政権,セイケン,42669,(political) administration; political power,noun (common) (futsuumeishi),せいけん,政権
10247,悪気,ワルギ,42668,evil intent; ill will; malice,noun (common) (futsuumeishi),わるぎ,悪気
10248,美穂,ミホ,42658,,,,
10249,大口,オオグチ,42654,big mouth; boastful speech; boasting; bragging; large amount; large quantity; mouth opened wide; tall talk,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",おおくち おおぐち,大口
10250,アプローチ,アプローチ,42644,approach; approach shot,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",アプローチ,
10251,しっかし,シッカシ,42637,,,,
10252,シオリ,シオリ,42633,,,,
10253,追いつける,オイツケ,42633,,,,
10254,製品,セイヒン,42632,finished goods; manufactured goods; product,noun (common) (futsuumeishi),せいひん,製品
10255,馬鹿げる,バカゲ,42624,to look foolish,"Ichidan verb, intransitive verb",ばかげる バカげる,馬鹿げる
10256,あや,アヤ,42616,cat's cradle; design; figure; figure (of speech); lease rod (in a loom); minor market fluctuation; pattern of diagonal stripes; plan; plot; style (of writing); technical correction; twill weave,"interjection (kandoushi), noun (common) (futsuumeishi)",あや,文 綾
10257,あどけない,アドケナイ,42602,cherubic; innocent,adjective (keiyoushi),あどけない,
10258,金属製,キンゾクセイ,42602,made of metal,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",きんぞくせい,金属製
10259,本国,ホンゴク,42572,colonizing country; country of one's ancestors; home country; one's own country; suzerain country (from the perspective of the vassal state); this country,noun (common) (futsuumeishi),ほんこく ほんごく,本国
10260,し終える,シオエ,42569,to finish,"Ichidan verb, transitive verb",しおえる,し終える 為終える
10261,行き着く,イキツク,42567,to arrive at; to end up,"Godan verb with 'ku' ending, intransitive verb",いきつく ゆきつく,行き着く 行着く
10262,キョウ,キョウ,42560,,,,
10263,混ざり合う,マザリアッ,42555,to be blended; to be mixed together; to commingle; to intermingle,Godan verb with 'u' ending,まざりあう,まざり合う 混ざり合う
10264,主体,シュタイ,42549,core; main constituent; nucleus; protagonist; subject (philosophical),noun (common) (futsuumeishi),しゅたい,主体
10265,鬼神,キシン,42542,fierce god,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",おにがみ きしん きじん,鬼神
10266,ティアナ,ティアナ,42512,,,,
10267,警部,ケイブ,42512,police inspector,noun (common) (futsuumeishi),けいぶ,警部
10268,中継,チュウケイ,42494,acting as an intermediary; hook-up; intermediation; joining; joint; middle relief pitcher; middle reliever; pole-shaped item with a join in the middle; relay; relay broadcasting; relaying; taking over,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru, nouns which may take the genitive case particle 'no'",ちゅうけい なかつぎ,中次 中次ぎ 中継 中継ぎ
10269,実習,ジッシュウ,42488,drill; practical exercise; practice (in the field); training (esp. practical and hands-on),"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",じっしゅう,実習
10270,まれ,マレ,42487,rare; seldom,adjectival nouns or quasi-adjectives (keiyodoshi),まれ,希 稀
10271,近しい,チカシイ,42484,close; intimate,adjective (keiyoushi),ちかしい,親しい 近しい
10272,カ月,カゲツ,42477,months (period of),counter,かげつ,か月 カ月 ケ月 ヵ月 ヶ月 箇月
10273,退散,タイサン,42473,breaking up; dispersing; running away,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",たいさん,退散
10274,大鎌,オオカマ,42471,scythe,noun (common) (futsuumeishi),おおがま だいかま,大鎌
10275,タカシ,タカシ,42464,,,,
10276,ロベルト,ロベルト,42458,,,,
10277,かり,カリ,42456,borrowing; debt; loan,noun (common) (futsuumeishi),かり,借り
10278,さやか,サヤカ,42455,bright; clear; fresh,adjectival nouns or quasi-adjectives (keiyodoshi),さやか,明か 清か
10279,フィオ,フィオ,42442,,,,
10280,焦がす,コガシ,42436,to burn; to char; to scorch; to singe,"Godan verb with 'su' ending, transitive verb",こがす,焦がす
10281,斬り,キリ,42435,,,,
10282,さんざん,サンザン,42428,badly; completely; disconnected; dispersed; harshly; miserably; scattered; severely; smashed into tiny pieces; terribly; thoroughly; utterly,"adjectival nouns or quasi-adjectives (keiyodoshi), adverb (fukushi)",さんざん,散々 散散
10283,やめ,ヤメ,42424,,,,
10284,北海道,ホッカイドウ,42413,"Hokkaido (island, prefectural-level administrative unit)",noun (common) (futsuumeishi),ほっかいどう,北海道
10285,映える,ハエル,42413,to be set off (by); to glow; to look attractive; to look nice; to shine,"Ichidan verb, intransitive verb",はえる ばえる バエる,映える 栄える
10286,栄える,サカエ,42410,to flourish; to prosper,"Ichidan verb, intransitive verb",さかえる,栄える
10287,どのみち,ドノミチ,42407,anyhow; anyway; at any rate; in any case,adverb (fukushi),どのみち,どの道 何の道
10288,佐倉,サクラ,42402,,,,
10289,冷徹,レイテツ,42399,cool-headed; hard-headed; level-headed,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",れいてつ,冷徹
10290,聴取,チョウシュ,42399,"asking; enquiry; hearing (of a statement, opinion, explanation, etc.); listening (e.g. to the radio); questioning (e.g. a suspect)","noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",ちょうしゅ,聴取
10291,ロスト,ロスト,42393,lost; to lose,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",ロスト,
10292,式典,シキテン,42389,ceremony; rites,noun (common) (futsuumeishi),しきてん,式典
10293,だらだら,ダラダラ,42384,dripping; endlessly; flowing; gently (sloping); idly; in drops; leisurely; lengthily; slovenly; slowly; sluggishly; streaming,"adverb (fukushi), adverb taking the 'to' particle, noun or participle which takes the aux. verb suru",だらだら ダラダラ,
10294,罵声,バセイ,42374,boos; jeers; shout of abuse,noun (common) (futsuumeishi),ばせい,罵声
10295,ビッチ,ビッチ,42372,bitch; easy lay; floozie; ho; overbearing woman; slut; witch,noun (common) (futsuumeishi),ビッチ,
10296,ソイツ,ソイツ,42365,,,,
10297,長期,チョウキ,42358,long-term,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",ちょうき,長期
10298,あれっ,アレッ,42355,eh?; help!; hey!; huh?; listen!; look!; oh; what?,interjection (kandoushi),あれ あれえ あれっ あれー,
10299,深紅,シンク,42350,deep crimson,noun (common) (futsuumeishi),しんく しんこう,深紅 真紅
10300,爆炎,バクエン,42334,,,,
10301,墜落,ツイラク,42317,crash (e.g. aircraft); fall,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",ついらく,墜落
10302,背徳,ハイトク,42304,corruption; fall from virtue; immorality; lapse from virtue,noun (common) (futsuumeishi),はいとく,悖徳 背徳
10303,ロバート,ロバート,42294,,,,
10304,芝生,シバフ,42294,grass; lawn,noun (common) (futsuumeishi),しばふ,芝生
10305,破損,ハソン,42289,damage,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",はそん,破損
10306,複製,フクセイ,42283,duplication; reprinting; reproduction,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru, nouns which may take the genitive case particle 'no'",ふくせい,複製
10307,多種,タシュ,42251,many kinds; various,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",たしゅ,多種
10308,ぞろぞろ,ゾロゾロ,42250,crawling (of insects); dragging (e.g. along the ground); in a crowd; in a stream; in droves; in succession; stretching out; swarming; trailing,"adverb (fukushi), adverb taking the 'to' particle",ぞろぞろ ゾロゾロ,
10309,爆笑,バクショウ,42248,burst of laughter; laughing hard (by a single person); roar of laughter (from multiple people); uproarious laughter,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",ばくしょう,爆笑
10310,トーマス,トーマス,42243,,,,
10311,発進,ハッシン,42238,departure; takeoff,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",はっしん,発進
10312,大森林,ダイシンリン,42229,,,,
10313,テオドール,テオドール,42228,,,,
10314,葬る,ホウムッ,42226,to bury; to cover up; to entomb; to hush up; to inter; to shelve,"Godan verb with 'ru' ending, transitive verb",ほうぶる ほうむる,葬る
10315,ヘタレ,ヘタレ,42221,good-for-nothing; incompetence; laziness; loser; weakling; weakness; worthlessness; wuss,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",へたれ ヘタレ,
10316,屈託,クッタク,42218,boredom; care; concern; ennui; worry,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",くったく,屈托 屈託
10317,不定期,フテイキ,42213,indeterminate; irregular; tramp (steamer),"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",ふていき,不定期
10318,替える,カエ,42199,to exchange; to interchange; to replace; to substitute,"Ichidan verb, transitive verb",かえる,代える 換える 替える
10319,国軍,コクグン,42190,national armed forces,noun (common) (futsuumeishi),こくぐん,国軍
10320,ハイド,ハイド,42187,,,,
10321,イジメ,イジメ,42186,bullying; teasing,noun (common) (futsuumeishi),いじめ イジメ,苛め 虐め
10322,おねえちゃん,オネエチャン,42172,lass; older sister; young lady,noun (common) (futsuumeishi),おねえちゃん,お姉ちゃん
10323,立て続け,タテツヅケ,42171,continuation; sequence; series; succession,noun (common) (futsuumeishi),たてつづけ,たて続け 立てつづけ 立て続け
10324,今日は,コンニチハ,42169,good afternoon; good day; hello,interjection (kandoushi),こんにちは,今日は
10325,手すり,テスリ,42169,banister; handrail; railing,noun (common) (futsuumeishi),てすり,手すり 手摺 手摺り
10326,ろく,ロク,42156,six,numeric,む むう ろく,六 陸 ６
10327,特典,トクテン,42147,amenity; benefit; perk; prerogative; privilege; special favor; special favour,noun (common) (futsuumeishi),とくてん,特典
10328,飄々,ヒョウヒョウ,42143,aimless; aloof from the world; blowing; dancing; detached; easygoing; flapping; fluttering (in the wind); howling; roaming; staggering; swirling,"'taru' adjective, adverb taking the 'to' particle, noun or participle which takes the aux. verb suru",ひょうひょう,飄々 飄飄
10329,エレーナ,エレーナ,42141,,,,
10330,ぽんぽん,ポンポン,42136,bang-bang; bobbles; outspokenly; pompon; pompons; pop-pop; snappishly; tap-tap; tummy; tumtum; unreservedly; without reservation,"adverb (fukushi), adverb taking the 'to' particle, noun (common) (futsuumeishi)",ぽんぽん ポンポン,
10331,われる,ワレ,42127,"to be distorted (of a sound); to be divided (opinion, vote, etc.); to be divisible (without a remainder); to be identified; to be revealed; to be smashed; to be torn; to become clear; to break; to come to light; to crack; to fissure","Ichidan verb, intransitive verb",われる,割れる 破れる
10332,ほくそ笑む,ホクソエン,42114,to chuckle to oneself; to gloat (over),"Godan verb with 'mu' ending, intransitive verb",ほくそえむ,ほくそ笑む 北叟笑む
10333,エルナ,エルナ,42114,,,,
10334,両脚,リョウアシ,42113,both legs,noun (common) (futsuumeishi),りょうあし りょうきゃく,両脚
10335,エッセイ,エッセイ,42106,essay,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",エッセィ エッセイ エッセー,
10336,書状,ショジョウ,42106,letter; note,noun (common) (futsuumeishi),しょじょう,書状
10337,仕込み,シコミ,42102,education; girl studying to become a geisha; laying in; preparation (e.g. ingredients); stocking up; training; upbringing,"noun (common) (futsuumeishi), noun, used as a suffix",しこみ,仕込 仕込み
10338,掻き分ける,カキワケ,42095,to push aside; to push one's way through,"Ichidan verb, transitive verb",かきわける,かき分ける 掻き分ける 搔き分ける
10339,つながり,ツナガリ,42094,connection; link; relationship,noun (common) (futsuumeishi),つながり,繋がり
10340,コウモリ,コウモリ,42086,bat (Chiroptera spp.); opportunist; turncoat; umbrella,noun (common) (futsuumeishi),かわほり こうもり へんぷく コウモリ,蝙蝠
10341,嫌気,イヤケ,42071,disgust; disinclination; dislike; tired of,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru, nouns which may take the genitive case particle 'no'",いやき いやけ けんき,嫌気
10342,海面,カイメン,42070,(surface of) sea; sea level,noun (common) (futsuumeishi),かいめん,海面
10343,立ち塞がる,タチフサガル,42062,to bar someone's way; to block the way; to stand in the way,"Godan verb with 'ru' ending, intransitive verb",たちふさがる,立ちふさがる 立ち塞がる 立塞がる
10344,しょっちゅう,ショッチュウ,42059,always; constantly; frequently; nonstop; often,adverb (fukushi),しょっちゅう,
10345,ショッピングモール,ショッピングモール,42054,shopping mall,noun (common) (futsuumeishi),ショッピングモール ショッピング・モール,
10346,水平,スイヘイ,42036,even; horizontal; level,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",すいへい,水平
10347,木霊,コダマ,42034,echo; reverberation; spirit of a tree; tree spirit,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",こだま,木霊 木魂 谺
10348,ガラガラ,ガラガラ,42032,"bare; boorish; empty; gravelly; husky; ill-mannered; outspoken; raspy (voice); rattle (e.g. baby's toy); rough (personality, speech, etc.); uninhabited; unoccupied","adjectival nouns or quasi-adjectives (keiyodoshi), adverb (fukushi), adverb taking the 'to' particle, noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru, nouns which may take the genitive case particle 'no'",がらがら ガラガラ,
10349,真似る,マネ,42027,to imitate; to mimic,"Ichidan verb, transitive verb",まねる,真似る
10350,上限,ジョウゲン,42021,supremum; upper limit,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",じょうげん,上限
10351,ドンドン,ドンドン,42014,banging; beating; booming; continuously; drumming (noise); in succession; one after the other; pounding; quickly; rapidly; stamping; steadily,"adverb (fukushi), adverb taking the 'to' particle",どんどん ドンドン,
10352,食い止める,クイトメ,42013,to check; to curb; to halt; to hold back; to keep at bay; to prevent; to stem; to stop,"Ichidan verb, transitive verb",くいとめる,くい止める 食いとめる 食い止める 食止める
10353,グッズ,グッズ,42009,goods; promotional items,noun (common) (futsuumeishi),グッズ グッツ,
10354,停まる,トマッ,42006,"to alight; to be stopped; to be suspended; to cease; to come to a halt; to come to a stop; to perch on; to stop (doing, working, being supplied); to stop (moving)","Godan verb with 'ru' ending, intransitive verb",とまる,停まる 止まる 止る 留まる 留る 駐まる
10355,秘匿,ヒトク,41998,concealment; hiding,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",ひとく,秘匿
10356,ッッッ,ッッッ,41997,,,,
10357,ワイヤー,ワイヤー,41997,wire; wire rope,noun (common) (futsuumeishi),ワイア ワイヤ ワイヤー,
10358,アリー,アリー,41985,,,,
10359,愚痴る,グチッ,41975,to complain; to gripe; to grumble,"Godan verb with 'ru' ending, intransitive verb",ぐちる グチる,愚痴る
10360,陸上,リクジョウ,41972,(on) land; ground; shore; track-and-field events,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",りくじょう,陸上
10361,心細い,ココロボソイ,41969,discouraging; disheartening; forlorn; helpless; hopeless; lonely; unpromising,adjective (keiyoushi),こころぼそい,心細い
10362,精密,セイミツ,41968,accurate; close; detailed; exact; minute; precise,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",せいみつ,精密
10363,バルト,バルト,41966,Baltic,noun (common) (futsuumeishi),バルト,
10364,著しい,イチジルシク,41954,considerable; remarkable; striking,adjective (keiyoushi),いちじるしい,著しい
10365,洗練,センレン,41917,polish; refinement,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",せんれん,洗煉 洗練 洗錬
10366,胸板,ムナイタ,41916,breast; chest,noun (common) (futsuumeishi),むないた,胸板
10367,小さめ,チイサメ,41906,on the small side; smallish,nouns which may take the genitive case particle 'no',ちいさめ,小さめ 小さ目
10368,樹里,ジュリ,41903,,,,
10369,リンネ,リンネ,41901,,,,
10370,勤しむ,イソシン,41901,to be diligent in; to devote oneself to; to work hard at,"Godan verb with 'mu' ending, intransitive verb",いそしむ,勤しむ
10371,アロー,アロー,41897,arrow,noun (common) (futsuumeishi),アロー,
10372,野蛮,ヤバン,41884,barbaric; barbarous; savage; uncivilised; uncivilized,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",やばん,野蛮
10373,愛理,アイリ,41875,,,,
10374,神代,ジンダイ,41867,age of the gods; ancient time,noun (common) (futsuumeishi),かみよ じんだい,神代
10375,形跡,ケイセキ,41864,evidence; traces,noun (common) (futsuumeishi),けいせき,形跡
10376,結成,ケッセイ,41862,combination; formation,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",けっせい,結成
10377,交差点,コウサテン,41860,crossing; intersection,noun (common) (futsuumeishi),こうさてん,交叉点 交差点
10378,ポンコツ,ポンコツ,41859,clumsy; dismantled car; hitting (with fist); no good; piece of junk; striking; unreliable; useless; worn-out article,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",ぽんこつ ポンコツ,
10379,奥方,オクガタ,41859,lady; nobleman's wife,noun (common) (futsuumeishi),おくがた,奥方
10380,笑む,エン,41852,to smile,"Godan verb with 'mu' ending, intransitive verb",えむ,笑む
10381,ウインク,ウインク,41851,wink,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",ウィンク ウインク,
10382,コーラ,コーラ,41849,"cola (carbonated soft drink); cola tree; kola tree (Cola acuminata, etc.)",noun (common) (futsuumeishi),コーラ,
10383,寄り道,ヨリミチ,41849,dropping in on the way; going the long way round; making a detour; making a side trip; stopping off at,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",よりみち,寄り道 寄道
10384,顛末,テンマツ,41845,"circumstances; course of events; details (of an incident, event, etc.); facts; particulars; whole story",noun (common) (futsuumeishi),てんまつ,顚末 顛末
10385,マスコミ,マスコミ,41844,mass communication; mass media,noun (common) (futsuumeishi),マスコミ,
10386,リカ,リカ,41824,,,,
10387,号室,ゴウシツ,41819,suffix for apartment numbers; suffix for room numbers,suffix,ごうしつ,号室
10388,好物,コウブツ,41819,favourite dish (favorite); favourite food,noun (common) (futsuumeishi),こうぶつ,好物
10389,出店,シュッテン,41818,branch store; food stall; food stand,noun (common) (futsuumeishi),でみせ,出店
10390,辛抱,シンボウ,41806,endurance; patience,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",しんぼう,辛抱 辛棒
10391,なーい,ナーイ,41798,,,,
10392,こじ開ける,コジアケ,41792,to pick (lock); to prize open; to wrench open,"Ichidan verb, transitive verb",こじあける,こじ開ける 抉じ開ける
10393,いかなる,イカナル,41782,any kind of; every; whatever; whatsoever,pre-noun adjectival (rentaishi),いかなる,如何なる
10394,締め付け,シメツケ,41770,clamping; fastening; pressure; tightening,noun (common) (futsuumeishi),しめつけ,締めつけ 締め付け 締付 締付け
10395,司会,シカイ,41759,chairman; chairmanship; host; leading a meeting; master of ceremonies; moderator; officiating at a ceremony; presenter; presiding over a meeting,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",しかい,司会
10396,決勝,ケッショウ,41756,decision of a contest; finals (in sports),noun (common) (futsuumeishi),けっしょう,決勝
10397,突き入れる,ツキイレ,41756,to drive into; to push into; to shove into; to thrust into,"Ichidan verb, transitive verb",つきいれる,突き入れる 突入れる
10398,セクシー,セクシー,41755,sexy,adjectival nouns or quasi-adjectives (keiyodoshi),セクシィ セクシィー セクシー セクスィ セクスィー,
10399,スペック,スペック,41754,specifications; specs,noun (common) (futsuumeishi),スペック,
10400,王道,オウドウ,41752,easy method; just rule; kingship; noble path; righteous government; royal road; rule of right; short-cut; simple approach,noun (common) (futsuumeishi),おうどう,王道
10401,思い直す,オモイナオシ,41746,to change one's mind; to re-think; to think back upon,"Godan verb with 'su' ending, transitive verb",おもいなおす,思いなおす 思い直す
10402,手先,テサキ,41741,fingers; fingertips; minion; pawn; stooge; tool; underling,noun (common) (futsuumeishi),てさき,手先
10403,副長,フクチョウ,41731,deputy director; deputy head; executive officer (navy); vice chief (of something),noun (common) (futsuumeishi),ふくちょう,副長
10404,始祖,シソ,41721,founder; originator; pioneer,noun (common) (futsuumeishi),しそ,始祖
